Job Name,Job_Step,Time Run,Job Status,Job Outcome,run_duration (DD:HH:MM:SS)  
SEM_DATAMART_DAILY_LOAD_TASK_TOP_INTRADAY,(Job outcome),Feb 1 2018 1:00PM,Enabled,Succeeded,00:00:00:26
SEM_DATAMART_DAILY_LOAD_TASK_TOP_INTRADAY,(Job outcome),Feb 1 2018 1:00PM,Enabled,Succeeded,00:00:00:32
SEM_DATAMART_DAILY_LOAD_TASK_TOP_INTRADAY,(Job outcome),Jan 16 2018  3:00PM,Enabled,Succeeded,00:00:00:28
SEM_DATAMART_DAILY_LOAD_TASK_TOP_INTRADAY,(Job outcome),Jan 16 2018  4:00PM,Enabled,Succeeded,00:00:00:26
SEM_DATAMART_DAILY_LOAD_TASK_TOP_INTRADAY,(Job outcome),Jan 16 2018  5:00PM,Enabled,Succeeded,00:00:00:27
SEM_DATAMART_DAILY_LOAD_TASK_TOP_INTRADAY,(Job outcome),Jan 16 2018  6:00PM,Enabled,Succeeded,00:00:00:29
UBSMWE_WFST_BUFull (SEM_DATAMART),(Job outcome),Jan 17 2018 12:01AM,Enabled,Succeeded,00:00:00:10
UBSMWE_WFST_BUFull (SEM_DATAMART_SAVE),(Job outcome),Jan 17 2018 12:01AM,Enabled,Succeeded,00:00:00:06
UBSMWE_WFST_IDXUpdSt (SEM_DATAMART_SAVE),(Job outcome),Jan 17 2018 12:01AM,Enabled,Succeeded,00:00:00:00
UBSMWE_WFST_IDXUpdSt (SEM_DATAMART),(Job outcome),Jan 17 2018 12:01AM,Enabled,Succeeded,00:00:00:20
SEM_DATAMART_DAILY_LOAD_TASK_TOP,(Job outcome),Feb 1 2018  2:00AM,Enabled,Succeeded,00:00:00:31
SEM_DATAMART_DAILY_LOAD_ATT_HRI,(Job outcome),Jan 17 2018  2:00AM,Enabled,Succeeded,00:00:01:29
