name,FileType,OnlineStatus,FileSize,SizeInBytes
DBServices,DBServices,ONLINE,600 MB,614400 Bytes
DBServices,DBServices_log,ONLINE,600 MB,614400 Bytes
master,master,ONLINE,150 MB,153600 Bytes
master,mastlog,ONLINE,100 MB,102400 Bytes
model,modeldev,ONLINE,50 MB,51200 Bytes
model,modellog,ONLINE,30 MB,30720 Bytes
msdb,MSDBData,ONLINE,300 MB,307200 Bytes
msdb,MSDBLog,ONLINE,100 MB,102400 Bytes
SEM_DATAMART,SEM_DATAMART,ONLINE,5500 MB,5632000 Bytes
SEM_DATAMART,SEM_DATAMART_log,ONLINE,1027 MB,1052032 Bytes
tempdb,tempdev,ONLINE,2000 MB,2048000 Bytes
tempdb,templog,ONLINE,1000 MB,1024000 Bytes
TTDATA,TTDATA,ONLINE,2500 MB,2560000 Bytes
TTDATA,TTDATA_log,ONLINE,500 MB,512000 Bytes
